AWD,Audi 3.2L 6 cylinder 250hp 236ft-lbs,6 Speed Automatic Select Shift,18,Gasoline,2009 Audi A3 3.2,Audi,2009,250
FWD,Audi 2.0L 4 cylinder 200hp 207ft-lbs Turbo,6 Speed Automatic Select Shift,22,Gasoline,2009 Audi A3 2.0 T AT,Audi,2009,200
FWD,Volvo 2.5L 5 cylinder 227hp 236ft-lbs Turbo,5 Speed Automatic,21,Gasoline,2011 Volvo C30 5 5 AT,Volvo,2011,227
FWD,Volvo 2.5L 5 cylinder 227hp 236ft-lbs Turbo,5 Speed Automatic,21,Gasoline,2010 Volvo C30 5 5 AT,Volvo,2010,227
FWD,Volvo 2.5L 5 cylinder 227hp 236ft-lbs Turbo,6 Speed Manual,21,Gasoline,2010 Volvo C30 5 5 AT,2010,227
RWD,Bentley 6.8L 8 cylinder 530hp 774ft-lbs Turbo,6 Speed Automatic,9,Gasoline,2010 Bentley Brooklanda,Brentley,2010,530
FWD,Honda 1.8L 4 cylinder 140hp 128ft-lbs,5 Speed Manual,26,Gasoline,2010 Honda Civic LX Couo,Honda,2010,149
